Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Mobile Service Coach,MSX INTERNATIONAL,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_cleveland
US Analyst Technology Coverage,CRÉDIT AGRICOLE CIB,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Temporary,,,,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-technology-coverage_san-francisco
Service Business Manager,MSX INTERNATIONAL,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/service-business-manager_dunton
Business Development Representative,BREVO,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,950,5 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/business-development-representative_austin_BREVO_p5XRJZj
OEM Trade Parts BDM,MSX INTERNATIONAL,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,"5,000",3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/oem-trade-parts-bdm_dallas
"Client Development Manager - East Coast, MRTW & MTM",HERMÈS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"East Coast, MRTW",,,26494,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-east-coast-mrtw-mtm_manhattan_HERMS_wbzPRWx
"VP, Business Development - Florida",DESCARTES UNDERWRITING,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,250,8 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/vp-business-development-florida_florida
US Artists Coach - Groover Club (Freelance),GROOVER,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Freelance,,Remote,,35,10 days ago,https://www.welcometothejungle.com/en/companies/groover/jobs/us-artists-coach-groover-club-freelance_new-york
Lead Analytics Consultant,KRAKEN,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,1828,,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-client-data-analytics-lead_new-york
Senior Director - Client Development,HERMÈS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Analytics, CRM",,,26494,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-director-client-development_new-york_HERMS_VQ2o5lk
"AVP, Business Development - Florida",DESCARTES UNDERWRITING,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,250,18 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/avp-or-vp-business-development_florida
FSR+ Coach,MSX INTERNATIONAL,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_port
"Junior Business Scientist, Data Science and Marketing Effectiveness",EKIMETRICS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Operational Excellence, ESG",,,500,9 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/junior-business-scientist-data-science-and-marketing-effectiveness_new-york
Senior Sales Executive – B2B New Business Acquisition,FRENCHFOUNDERS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,65,22 days ago,https://www.welcometothejungle.com/en/companies/frenchfounders/jobs/senior-account-executive-b2b-new-business_new-york
"US Business Development Representative (Austin, TX)",SUNSTICE,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Austin, TX",,,120,2 days ago,https://www.welcometothejungle.com/en/companies/futurmaster/jobs/us-business-development-representative-austin-tx_austin
"Director - Human Resources Business Partner, West Region",HERMÈS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"As the Director, HR",,,26494,29 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/director-human-resources-business-partner-west-region_beverly-hills_HERMS_KxaKJN0
VIE Business Development - North America,METROSCOPE,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Temporary,,Remote,,55,16 days ago,https://www.welcometothejungle.com/en/companies/metroscope/jobs/vie-business-development-north-america_alexandria
Business Development Manager - Strategic Accounts (Eastern US),IMPLICITY,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,100,,https://www.welcometothejungle.com/en/companies/implicity/jobs/business-development-manager-strategic-accounts-eastern-us_new-york
Legal Tech & Ops Associate (IP & Licensing Business),MISTRAL AI,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Our offerings include Le Chat, AI",Remote,,280,,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/legal-tech-associate-ip-licensing-business_palo-alto
Competitive Intelligence Manager,DATAIKU,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/competitive-intelligence-manager_new-york
"Sales and Business Development Manager, ESS",SOCOMEC,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Personalize Your Options
Find a job
Find a company
Media
For employers
Applications
Opportunities
Sign in
Back
SOCOMEC
Sales and Business Development Manager, ESS",,,4400,10 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/sales-and-business-development-manager-ess_watertown
"Senior Human Resources Business Partner, Southern Region",HERMÈS,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,26494,21 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-southern-region_miami_HERMS_w72PjWZ
Business Transformation Senior Advisor,DATAIKU,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,Remote,,1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/business-transformation-senior-advisor_new-york
"Senior Director, Partnerships (Commercial)",EQUATIV,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,700,16 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-partnerships-commercial_new-york
"Business Development Specialist, Power Monitoring",SOCOMEC,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,4400,22 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/business-developer-power-monitoring_watertown
VIE - Business Development USA (H/F),TESSAN,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,104,,https://www.welcometothejungle.com/en/companies/tessan/jobs/vie-business-development-usa-h-f_new-york
Director of Global Business Development,BOTIFY,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,150,16 days ago,https://www.welcometothejungle.com/en/companies/botify/jobs/director-of-global-business-development_new-york
Business Development Representative - US,QEVLAR AI,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,40,,https://www.welcometothejungle.com/en/companies/qevlar-ai/jobs/business-development-representative-us_new-york
FSR+ Coach Washington Region,MSX INTERNATIONAL,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,,,,"5,000",19 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fsr-coach-washington-region_southfield
"Senior Director, DSP Commercial Partnerships",EQUATIV,"Ok, these cookies are neither sweet nor chocolatey. But they allow us to get to know you better and to offer content to you that you will devour. And that is worth all the cookies in the world.",Permanent Contract,"Personalize Your Options
Find a job
Find a company
Media
For employers
Applications
Opportunities
Sign in
Back
EQUATIV
Senior Director, DSP",,,700,16 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-dsp-commercial-partnerships_new-york
